"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"HPA","Endometrium 1; cells in endometrial stroma[≥Medium]","HPA:0160252","false","1.1387532849885346e-8","7.943570357197575","2236","26","21","11007","U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Rectum; glandular cells[High]","HPA:0400053","false","1.2780749102087388e-8","7.893443690671465","2577","26","22","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Pancreas; exocrine glandular cells[High]","HPA:0350473","false","1.3643095272625234e-8","7.865087088087139","1961","26","20","11007","U2AF1,U2AF2,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Skin 2; vascular mural cells[≥Low]","HPA:0471491","false","1.4703961217620371e-8","7.832565651428291","240","26","10","11007","SRSF3,SRSF6,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Skin 1; vascular mural cells[≥Low]","HPA:0461491","false","1.5958710230302155e-8","7.79700221088611","242","26","10","11007","SRSF3,SRSF6,SRSF7,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPK,HNRNPU"
"HPA","Adrenal gland; glandular cells[High]","HPA:0020053","false","1.7369407236552568e-8","7.760215002409951","2284","26","21","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Seminal vesicle; glandular cells[High]","HPA:0430053","false","1.749205133959747e-8","7.757159256660409","1474","26","18","11007","U2AF1,U2AF2,SRSF1,SRSF3,SRSF6,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Skin 2; cells in granular layer[High]","HPA:0470183","false","2.031696059417485e-8","7.692141261737952","248","26","10","11007","SRSF3,SRSF6,SRSF9,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Endometrium 2; cells in endometrial stroma[High]","HPA:0170253","false","3.442647863580129e-8","7.463107397488514","358","26","11","11007","U2AF1,SRSF1,SRSF3,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPK,HNRNPL,HNRNPM,HNRNPUL1"
"HPA","Testis; pachytene spermatocytes[≥Low]","HPA:0570761","false","3.4960073982025955e-8","7.456427656988675","2366","26","21","11007","U2AF1,U2AF2,SRSF1,SRSF2,SRSF3,SRSF6,SRSF7,SRSF8,SRSF11,SRSF12,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
